,代码,学校名称,办学性质,招生人数_2024,指标生人数_2024,招生人数_2023,指标生人数_2023,[2019],[2020],[2021],[2022],[2023],type,2019,2020,2021,2022,2023,AC,AC_指标生,D,D_指标生,ACD,ACD_指标生
69,8311025,深圳市致理中学,公办,1125,563,1125.0,563.0,,,,,492.0,AC,,,,,70.0,1125.0,563.0,375.0,188.0,,
70,8310164,深圳外国语学校致远高中,公办,425,213,425.0,213.0,,,,399.0,492.0,AC,,,,78.0,71.0,425.0,213.0,175.0,88.0,,
71,8310308,深圳市行知职业技术学校（综合高中）,公办,150,0,300.0,0.0,,,,447.0,492.0,ACD,,,,72.0,72.0,,,,,150.0,0.0
72,8310208,深圳市聚龙科学中学,公办,710,355,710.0,355.0,,,,458.0,490.0,AC,,,,64.0,73.0,710.0,355.0,290.0,145.0,,
73,8310180,深圳实验学校至臻高中,公办,300,150,375.0,188.0,,,,,490.0,AC,,,,,74.0,300.0,150.0,100.0,50.0,,
74,8310182,深圳外国语学校理工高中,公办,375,188,375.0,188.0,,,,,490.0,AC,,,,,75.0,375.0,188.0,125.0,63.0,,
75,8310186,深圳市第二实验学校明远高中,公办,488,244,450.0,225.0,,,,,486.0,AC,,,,,76.0,488.0,244.0,162.0,81.0,,
76,8310903,光明中学,公办,420,210,425.0,213.0,359.0,362.0,460.0,457.0,482.0,AC,49.0,48.0,54.0,65.0,77.0,420.0,210.0,180.0,90.0,,
77,8310405,北京大学附属中学深圳学校,公办,390,195,425.0,213.0,373.0,368.0,463.0,453.0,481.0,AC,43.0,44.0,53.0,66.0,78.0,390.0,195.0,110.0,55.0,,
78,8310709,横岗高级中学,公办,560,280,565.0,283.0,362.0,363.0,457.0,451.0,480.0,AC,47.0,47.0,56.0,68.0,79.0,560.0,280.0,240.0,120.0,,
79,8310705,布吉高级中学,公办,700,350,710.0,355.0,367.0,365.0,458.0,452.0,476.0,AC,45.0,46.0,55.0,67.0,80.0,700.0,350.0,300.0,150.0,,
80,8310711,平湖外国语学校,公办,210,105,212.0,106.0,359.0,360.0,454.0,449.0,475.0,AC,48.0,50.0,58.0,71.0,81.0,210.0,105.0,90.0,45.0,,
81,8310609,沙井中学,公办,420,210,422.0,211.0,355.0,361.0,456.0,449.0,474.0,AC,51.0,49.0,57.0,70.0,82.0,420.0,210.0,180.0,90.0,,
82,8310426,深圳明德实验学校（集团）高级中学（梅中校区）,公办,240,120,235.0,118.0,,,,438.0,474.0,AC,,,,76.0,83.0,240.0,120.0,60.0,30.0,,
83,8310306,深圳市美术学校,公办,252,126,215.0,108.0,380.0,378.0,500.0,423.0,472.0,AC,41.0,41.0,38.0,77.0,84.0,252.0,126.0,98.0,49.0,,
84,8311014,深圳市艺术高中,公办,284,142,284.0,142.0,,,,446.0,471.0,AC,,,,74.0,85.0,284.0,142.0,116.0,58.0,,
85,8311001,龙华中学,公办,280,140,282.0,141.0,356.0,359.0,453.0,447.0,468.0,AC,50.0,51.0,59.0,73.0,86.0,280.0,140.0,120.0,60.0,,
86,8310176,深圳市第二高级中学深汕实验学校,公办,653,327,480.0,240.0,,,,450.0,463.0,AC,,,,69.0,87.0,653.0,327.0,280.0,140.0,,
87,8310707,布吉中学,公办,280,140,282.0,141.0,349.0,354.0,443.0,442.0,456.0,AC,52.0,52.0,60.0,75.0,88.0,280.0,140.0,120.0,60.0,,
88,8310110,深圳市第三高级中学（国家留学基金委自费出国留学班）,公办,376,0,376.0,0.0,398.0,301.0,371.0,345.0,434.0,ACD,25.0,54.0,61.0,80.0,89.0,,,,,376.0,0.0
89,8310191,深圳中学科技高中(new),公办,733,367,,,,,,,,AC,,,,,,733.0,367.0,300.0,150.0,,
90,8310193,深圳中学实验高中(new),公办,733,367,,,,,,,,AC,,,,,,733.0,367.0,300.0,150.0,,
91,8310195,深圳市体育实验学校(new),公办,50,0,,,,,,,,ACD,,,,,,,,,,50.0,0.0
92,8311027,深圳市龙华科技实验高级中学(new),公办,450,225,,,,,,,,AC,,,,,,450.0,225.0,150.0,75.0,,
